title,description,event_types,event_audiences,event_languages,event_page,location_name,location_details,start,end,featured,cancelled,recurring,registration_starts,registration_ends,registration_closed,registration_status,location_address,location_zip,location,day_of_the_week,event_id
"Adult Book Discussion: Poverty, by America","<p>Join the Uptown Branch Adult Book Club&nbsp;for&nbsp;a discussion of <a id=""ember12214"" data-add-title-link=""2485020126"" href=""/item/show/2485020126"">Poverty, by America</a> by Matthew Desmond.<br><br>The United States, the richest country on earth, has more poverty than any other advanced democracy. Why? In this landmark book, acclaimed sociologist Matthew Desmond draws on history, research, and original reporting to show how affluent Americans knowingly and unknowingly keep poor people poor. Elegantly written and fiercely argued, this compassionate book gives us new ways of thinking about a morally urgent problem.</p><p>A limited number of copies of this title will be available for checkout after the monthly Adult Book Club meeting on 7/18/26 at the Circulation Desk or place a hold.</p><p><strong>How to Attend</strong><br></p><p><strong></strong>This event is available in person or online.<br></p><p><strong>Attend in person at the Uptown Branch 929 W. Buena Avenue, Chicago, IL 60613</strong></p>



<p><strong>Attend online via Zoom</strong></p><p>Please contact Denise Reiter at dreiter@chipublib.org for a Zoom link.<strong></strong>&nbsp;Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.&nbsp;Questions about attending online events? Check out our&nbsp;<a href=""https://www.chipublib.org/faq/services/?_gl=1*m7cmoh*_ga*MTM4NzM3NjMyNi4xNzA4NzA1MjEz*_ga_G99DMMNG39*czE3NjI3MTg1NDQkbzQ3NyRnMSR0MTc2MjcyMDI4OSRqNjAkbDAkaDA.*_ga_92RPWHE421*czE3NjI3MTg1NDQkbzQ3NyRnMSR0MTc2MjcyMDI4OCRqNDIkbDAkaDA.#events-2"">Events FAQs</a>.<br><br><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>

<p><br><br></p>",Book Clubs,Adults (Adults: 18 and up),English,"Event Page: Adult Book Discussion: Poverty, by America  (https://chipublib.bibliocommons.com/events/6967e05f94297d3600a522e0)",Uptown,Community Room,2026-08-15T13:00:00.000,2026-08-15T14:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,929 W. Buena Avenue,60613,POINT (-87.653572 41.958263),Saturday,6967e05f94297d3600a522e0
Adult Book Discussion: Grief is for People,"<p>Join the Uptown Branch Adult Book Club&nbsp;for&nbsp;a discussion of <a id=""ember14162"" data-add-title-link=""2561369126"" href=""/item/show/2561369126"">Grief Is for People</a> by Sloane Crosley.&nbsp;<em><br><br>Grief Is for People</em> is a deeply moving and surprisingly suspenseful portrait of friendship, and a book about loss packed with verve for life. After the pain and confusion of losing her closest friend to suicide, Crosley looks for answers in friends, philosophy, and art, hoping for a framework more useful than the unavoidable stages of grief. Crosley’s search for truth is frank, darkly funny, and gilded with a resounding empathy. Upending the “grief memoir,” <em>Grief Is for People</em> is the category-defying story of the struggle to hold on to the past without being consumed by it.</p><p>A limited number of copies of this title will be available for checkout after the monthly Adult Book Club meeting on 10/17/26 at the Circulation Desk or place a hold.</p><p><b>How to Attend</b></p>



<p>This event is available in person or online.</p><p><strong>Attend in person at the Uptown Branch 929 W. Buena Avenue, Chicago, IL 60613</strong></p><p><strong>Attend online via Zoom</strong><br>Please contact Denise Reiter at dreiter@chipublib.org for a Zoom link.<strong>&nbsp;</strong>Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.&nbsp;Questions about attending online events? Check out our&nbsp;<a href=""https://www.chipublib.org/faq/services/?_gl=1*9q0xel*_ga*MTM4NzM3NjMyNi4xNzA4NzA1MjEz*_ga_G99DMMNG39*czE3NjI3MjIzMjIkbzQ3OCRnMSR0MTc2MjcyMzkzOCRqNTkkbDAkaDA.*_ga_92RPWHE421*czE3NjI3MTg1NDQkbzQ3NyRnMSR0MTc2MjcyMzkzNyRqNjAkbDAkaDA.#events-2"">Events FAQs</a>.<br><br><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>




<p><br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: Grief is for People (https://chipublib.bibliocommons.com/events/6967e08176261f2800645d86),Uptown,Community Room,2026-11-21T13:00:00.000,2026-11-21T14:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,929 W. Buena Avenue,60613,POINT (-87.653572 41.958263),Saturday,6967e08176261f2800645d86
Adult Book Discussion: Lesser Ruins,"<p>Join the Uptown Branch Adult Book Club&nbsp;for&nbsp;a discussion of&nbsp;<a id=""ember19204"" data-add-title-link=""2603728126"" href=""/item/show/2603728126"">Lesser Ruins</a> by Mark Haber.<br><br>Bereft after the death of his wife, a retired professor has resumed his life's work—a book that will stand as a towering cathedral to Michel de Montaigne, reframing the inventor of the essay for the modern age. The challenge is the litany of intrusions that bar his way—from memories of his past to the nattering of smartphones to his son's relentless desire to make an electronic dance album.</p><p>A limited number of copies of this title will be available for checkout after the monthly Adult Book Club meeting on 11/21/26 at the Circulation Desk or place a hold.<br><br><br><b>How to Attend</b></p><p>This event is available in person or online.<br></p><p><strong>Attend in person at the Uptown Branch 929 W. Buena Avenue, Chicago, IL 60613</strong></p>



<p><b>Attend online via Zoom</b><br>Please contact Denise Reiter at dreiter@chipublib.org for a Zoom link.<strong>&nbsp;</strong>Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom.&nbsp;Questions about attending online events? Check out our&nbsp;<a href=""https://www.chipublib.org/faq/services/#events-2"">Events FAQs</a>.<br><br><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>


<p><br><br></p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: Lesser Ruins (https://chipublib.bibliocommons.com/events/6967e08894297d3600a522ed),Uptown,Community Room,2026-12-19T13:00:00.000,2026-12-19T14:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,929 W. Buena Avenue,60613,POINT (-87.653572 41.958263),Saturday,6967e08894297d3600a522ed
Knit Together,"<p>Join experienced needleworker Adriana Reyneri for a beginner-friendly knitting and crochet group. Bring your own projects or challenge yourself to start something new. Materials will be provided by the library.<br></p>

<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>","Crafts, Games and Play",Adults (Adults: 18 and up) | Teens (Teens: 13 to 19 years),English,Event Page: Knit Together (https://chipublib.bibliocommons.com/events/6969645c491b809c6f131a89),Harold Washington Library Center,"8th floor, 8S-7",2026-05-11T18:00:00.000,2026-05-11T19:30:00.000,FALSE,FALSE,TRUE,,2026-05-11T18:00:00.000,FALSE,ACTIVE,400 S. State Street,60605,POINT (-87.627872 41.876755),Monday,6969645c491b809c6f131a89
Story Time,"<p>Join us at the library for a fun time while enhancing your reading skills through stories, songs and playtime.<br></p>
<p>For ages 0 to 6 with a caregiver.&nbsp;<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Story Time,Babies (Babies: 0 to 18 months) | Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Story Time  (https://chipublib.bibliocommons.com/events/696fbdeccbf6405d3564aaf1),Roden,,2026-04-29T10:30:00.000,2026-04-29T11:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,6083 N. Northwest Highway,60631,POINT (-87.798205 41.992026),Wednesday,696fbdeccbf6405d3564aaf1
Adult Book Discussion: The House Of Eve,"<p>Join the Brained Branch in a virtual discussion of <a id=""ember6475"" data-add-title-link=""2478575126"" href=""/item/show/2478575126"">The House of Eve</a> by Sadeqa Johnson.&nbsp;</p>
<p>This&nbsp;historical dual narrative set in the late 1940s–1950s, explores the intertwined lives of two young Black women. Ruby Pearsall, a driven Philadelphia teenager, dreams of escaping poverty through college but faces an unplanned pregnancy that threatens her future. Meanwhile, Eleanor Quarles pursues education at Howard University and enters an elite Black family in Washington, D.C.—only to struggle with societal expectations and motherhood. Their paths collide in a Catholic maternity home where love, sacrifice, and ambition meet in unexpected ways. A moving story of resilience, race, class, and what it means to be a woman and a mother.</p>
<p><br><strong>Books are available for pick-up at the Brainerd branch's&nbsp;circulation desk. Please ask staff for assistance.</strong></p>
<p><strong>How to Attend</strong><br></p>
<p>
This event takes place on Zoom. Register at least 48 hours before the event. Only one registration per household is needed. You’ll receive an email with a link to the secure Zoom meeting about 24 hours before the meeting. Automatic transcription is included in all CPL events using Zoom. </p>
<p><strong>Accessibility</strong> <br>
Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <u><a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a></u> to request accommodations. Requests must be made at least 14 business days before the event. </p>
<p><strong>Attending CPL Online Events</strong> <br>
Questions about attending online events? Check out our <u><a href=""https://www.chipublib.org/faq/services/#events-2"" target=""_blank"">Events FAQs</a></u>. </p>",Book Clubs,Adults (Adults: 18 and up),English,Event Page: Adult Book Discussion: The House Of Eve (https://chipublib.bibliocommons.com/events/696ff56094297d3600a65ef1),,,2026-03-28T18:00:00.000,2026-03-28T20:00:00.000,FALSE,FALSE,FALSE,,2026-03-28T18:00:00.000,FALSE,ACTIVE,,,,Saturday,696ff56094297d3600a65ef1
Blood Drive with the American Red Cross,"<p>Help others in our community and beyond with your donation.&nbsp;American Red Cross staff will be doing the blood drawing. Register at <a href=""https://www.redcrossblood.org/give.html/donation-time?dt=WB:PL:DR:PM"">Red Cross Blood Drive</a> or you may call&nbsp;800-733-2767 to register.&nbsp;<strong><br></strong></p>
<p>Bring a photo ID or your blood donor card, or two other forms of ID.&nbsp;Eat a healthy meal and drink an extra 16 oz. of water and fluids before the donation.<br></p><figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/919d5f5abe107b840247ca9b8483da78/image.png"" data-image=""67b77db408738767c12aafd0"" width=""148"" height=""148"" style=""width: 148px; height: 148px;""></figure>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Health and Science,Adults (Adults: 18 and up),English,Event Page: Blood Drive with the American Red Cross (https://chipublib.bibliocommons.com/events/69711b46cbf6405d3564c749),Independence,,2026-10-06T13:00:00.000,2026-10-06T18:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4024 N. Elston Avenue,60618,POINT (-87.7203136 41.954157),Tuesday,69711b46cbf6405d3564c749
Puzzlemania for Adults,"<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/a28e84caabeae77384eab2242302fc40/puzzle-pieces-1925425_1280.jpg"" data-image=""6669da86987a0ca350984b80"" width=""319.5"" height=""213"" style=""width: 319.5px; height: 213px;""></figure>
<p>Do you enjoy working on puzzles? Join Chicago Bee branch staff for fun and conversation&nbsp;as we try to complete a puzzle throughout&nbsp;each week. Feel free to bring your own puzzle if you'd like.</p>
<p>For Adults 18 and up!&nbsp;<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>
<p>Image: <a href=""https://pixabay.com/photos/puzzle-pieces-puzzle-patience-mesh-1925425/"">Puzzle Pieces</a> by <a href=""https://pixabay.com/users/congerdesign-509903/"">congerdesign</a> / <a href=""https://pixabay.com/service/license-summary/"">Pixabay content license</a></p>","Crafts, Games and Play",Adults (Adults: 18 and up),English,Event Page: Puzzlemania for Adults (https://chipublib.bibliocommons.com/events/697157b07d180d0d4831076d),Chicago Bee,2nd floor computer lab,2026-12-14T12:30:00.000,2026-12-14T19:30:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,3647 S. State Street,60609,POINT (-87.626315 41.82818),Monday,697157b07d180d0d4831076d
Baby Story Time,"<p>Join us for this story time for our youngest patrons! We share rhymes, songs and books. Come prepared to sit with your child on your lap.&nbsp;<br></p>
<p>For children birth to 24 months&nbsp;with an adult.<br></p>
<p><strong>Accessibility<br></strong>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Story Time,Babies (Babies: 0 to 18 months) | Toddlers (Toddlers: 18 to 36 months),English,Event Page:  Baby Story Time  (https://chipublib.bibliocommons.com/events/697276496c126d0e4895a7ad),Albany Park,,2026-04-20T10:30:00.000,2026-04-20T11:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,3401 W. Foster Avenue,60625-4808,POINT (-87.7138532 41.975965),Monday,697276496c126d0e4895a7ad
Learn to play Dungeons and Dragons,<p>Do you love playing Dungeons and Dragons but don’t currently have a group? Have you always wanted to play but don’t know how? Come join us to learn how to play D&D.<br><br><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email access@chipublib.org to request accommodations. Requests must be made at least 14 business days before the event.<br></p>,"Crafts, Games and Play",Teens (Teens: 13 to 19 years),English,Event Page: Learn to play Dungeons and Dragons (https://chipublib.bibliocommons.com/events/6978fc7b1e64afd01e570d76),Pullman,,2026-06-20T14:00:00.000,2026-06-20T16:00:00.000,FALSE,FALSE,FALSE,,2026-06-20T14:00:00.000,FALSE,ACTIVE,11001 S. Indiana Avenue,60628,POINT (-87.618107 41.694353),Saturday,6978fc7b1e64afd01e570d76
Preschool Story Time,"<p>Join us for&nbsp;stories and songs followed by time for coloring, crafts or&nbsp;open play.</p>
<p>For children 2 to 5 with an adult.&nbsp;<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.</p>","Crafts, Games and Play | Story Time",Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Preschool Story Time  (https://chipublib.bibliocommons.com/events/697a6409d34a4e759283db79),King (Closed),,2026-04-01T10:30:00.000,2026-04-01T11:30:00.000,FALSE,TRUE,TRUE,,,FALSE,NOT REQUIRED,3436 S. King Drive,60616,POINT (-87.61753 41.832264),Wednesday,697a6409d34a4e759283db79
Financial Literacy for Tweens and Teens,"<p><strong></strong>This lecture,&nbsp;Mastering Your Budget will be presented&nbsp;by Leticia Andrade.&nbsp;Leticia Andrade is a lifelong Chicagoan, bilingual (English/Spanish) Illinois Real Estate Broker, and passionate community advocate. Licensed since 2005, she brings real-world experience from real estate, banking, insurance and homeownership—having purchased her first home at just 23 years old. </p>
<p>Leticia loves giving back and is especially passionate about teaching tweens and teens&nbsp;the basics of financial literacy in a fun, relatable, and empowering way. Her goal is to help families build confidence, knowledge, and brighter financial futures—one lesson at a time.</p>
<p>For ages 12-17. Children under 11 years old must be accompanied by a parent or guardian.<strong><strong><br></strong></strong><strong><strong><strong><br></strong></strong></strong></p>
<p><strong>How to Attend</strong> <br>Register by the start of the event. Chicago Public Library cannot collect personal information online from kids 0 to 13. A parent or guardian’s email address must be used to register. As a reminder, school email addresses may block external emails such as those from CPL. </p>
<p>Due to space limitations, please include the total number of children and adults as attendees when you register.&nbsp;</p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Lectures,Teens (Teens: 13 to 19 years) | Tweens (Tweens: 10 to 13 years),English,Event Page: Financial Literacy for Tweens and Teens (https://chipublib.bibliocommons.com/events/697b86571e64afd01e579a23),Roden,,2026-04-18T13:00:00.000,2026-04-18T14:30:00.000,FALSE,FALSE,TRUE,,2026-04-18T13:00:00.000,FALSE,ACTIVE,6083 N. Northwest Highway,60631,POINT (-87.798205 41.992026),Saturday,697b86571e64afd01e579a23
Teen Grab and Go Kits,"<p>Stop by the branch to pick up a grab and go kit. Every two weeks&nbsp;will be something different. You can also hang out and do your kit with us in the branch. While supplies last.<br></p>

<p>For teens 13 to 19.</p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>","Crafts, Games and Play | DIY",Teens (Teens: 13 to 19 years),English,Event Page: Teen Grab and Go Kits (https://chipublib.bibliocommons.com/events/697ce69b8ef687c592a6671a),Scottsdale,,2026-05-28T15:30:00.000,2026-05-28T16:00:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4101 W. 79th Street,60652,POINT (-87.724482 41.749263),Thursday,697ce69b8ef687c592a6671a
Tales for Twos and Threes,"<p>Join us for stories, songs and rhymes followed by a simple craft and open play.</p>
<p>For children 18 months to 5 with a caregiver.</p>
<p><strong>Accessibility<br></strong><strong></strong>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br>

</p>",Story Time,Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Tales for Twos and Threes (https://chipublib.bibliocommons.com/events/6980c8bc491b809c6f16fe0d),Mayfair,,2026-05-21T10:30:00.000,2026-05-21T11:15:00.000,FALSE,FALSE,TRUE,,,FALSE,NOT REQUIRED,4400 W. Lawrence Avenue,60630,POINT (-87.7381 41.9682),Thursday,6980c8bc491b809c6f16fe0d
Film Screening: Cool Hand Luke (1967),"<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/172919db1c21cb5d582d79cfbfad1342/luke.jpg"" data-image=""695d67b1a0dcc142c97920be""></figure>
<p><br></p><p>Join us for a Sunday matinee&nbsp;screening of Cool Hand Luke.</p>
<p>Academy Award winner Paul Newman stars with George Kennedy in this story of a man who will not surrender to authority--even at the cost of his life. When Luke Jackson (Newman) is sentenced to a Southern prison for a minor infraction, his intelligence, calm under pressure and inability to accept defeat soon gain him the respect of his fellow inmates on the chain gang--and the nickname Cool Hand Luke. But they also earn Luke the enmity of the warden, who cannot allow any inmate to challenge his authority. When Luke's mother dies, he decides to escape ... and he will not allow anyone to stop him.<br><br>©Warner Bros.&nbsp;-- 126 minutes. -- TV-14.</p>
<p><a href=""https://chipublib.bibliocommons.com/events/search/fq=program:(5c9261756fdc8d742d2296a5)"" target=""_blank"" title=""https://chipublib.bibliocommons.com/events/search/fq=program:(5c9261756fdc8d742d2296a5)"">Community Cinema</a> is at a branch near you! Check out hundreds of other screenings at libraries across Chicago.<br></p>
<p><strong>How to Attend</strong> <br>
This event takes place in person. Masks are strongly encouraged in all CPL locations. Questions about visiting the library? Check out our <a href=""https://www.chipublib.org/faq/covid-19-response/#using-the-library"" target=""_blank"">Using the Library FAQs</a>. <br></p>
<p><strong>Accessibility<br></strong>English subtitles for the deaf and hard of hearing will be available for this screening.<br></p>","Art, Movies and Performances",Adults (Adults: 18 and up),English,Event Page: Film Screening: Cool Hand Luke (1967) (https://chipublib.bibliocommons.com/events/69812569377f55c8ec175617),Oriole Park,Community Room,2026-03-29T14:00:00.000,2026-03-29T16:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,7454 W. Balmoral Avenue,60656,POINT (-87.813665 41.978137),Sunday,69812569377f55c8ec175617
Cookie Club,"<p>Read and relax at our kids-only book club.&nbsp;This book&nbsp;club is for kids who wish to spend an hour reading books they want to read and eating cookies. Option to share about what you read with others.&nbsp;Cookies provided. Related games available.</p>
<p>This program is part of Chicago Public Library's <em>Jump into Reading</em> initiative.  </p>
<p>For readers 6 and up.</p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"" target=""_blank"" rel=""noreferrer noopener""><strong>access@chipublib.org</strong></a> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Book Clubs,Kids (Kids: 6 to 13 years) | Tweens (Tweens: 10 to 13 years),English,Event Page: Cookie Club (https://chipublib.bibliocommons.com/events/6994a3d24dacf581ff7be3e5),Independence,,2026-04-02T16:30:00.000,2026-04-02T17:30:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,4024 N. Elston Avenue,60618,POINT (-87.7203136 41.954157),Thursday,6994a3d24dacf581ff7be3e5
Chicago Mini Musicians,"<figure><img src=""https://chipublib.bibliocommons.com/events/uploads/images/full/43ba06265f427e127bcc9c32c38cb24f/image.png"" data-image=""67899a465ca5ec68c1c1fa6f""></figure>
<p>Join the award-winning Chicago Mini Musicians for an interactive music class for young children and their families!&nbsp; Led by the exuberant Mr. Xavier, these fun and skill-building classes bring music to life with singing, dancing, and interactive play.</p>
<p>Children will explore a variety of handheld instruments like shaker eggs, rhythm sticks, and sand blocks, along with colorful props such as peek-a-boo/dancing scarves and a giant parachute. Together, we’ll move, groove, and make joyful musical memories.<br></p>
<p>For ages 2 to 4.</p>
<p><strong><strong>How to Attend<br></strong></strong>Register by the start of the event.&nbsp;Chicago Public Library cannot collect personal information online from kids 0 to 13. A parent or guardian’s email address must be used to register. As a reminder, school email addresses may block external emails such as those from CPL.</p><p>Due to space limitations, please include the total number of children and adults as attendees when you register.<strong><strong><strong></strong></strong></strong></p><p><strong><strong><strong></strong></strong></strong><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>
<p>Photo source: Chicago Mini Musicians<br></p>",Story Time,Preschoolers (Preschoolers: 3 to 5 years) | Toddlers (Toddlers: 18 to 36 months),English,Event Page: Chicago Mini Musicians (https://chipublib.bibliocommons.com/events/6994a76c4dacf581ff7be4df),Independence,,2026-04-22T10:15:00.000,2026-04-22T11:15:00.000,FALSE,FALSE,FALSE,,2026-04-22T10:15:00.000,FALSE,ACTIVE,4024 N. Elston Avenue,60618,POINT (-87.7203136 41.954157),Wednesday,6994a76c4dacf581ff7be4df
Adult Book Discussion: Yellowface,"<p>Join the Mount Greenwood Branch this April for a book discussion of&nbsp;<a id=""ember12566"" data-add-title-link=""2497967126"" href=""/item/show/2497967126"">Yellowface</a>&nbsp;by R.F. Kuang.</p>
<p>You may pick up a copy of the book for check out at the Mount Greenwood Branch circulation desk.<br></p>
<p><strong>Accessibility</strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <u><a href=""mailto:access@chipublib.org"" target=""_blank"">access@chipublib.org</a></u> to request accommodations. Requests must be made at least 14 business days before the event.</p>",Book Clubs,Adults (Adults: 18 and up) | Seniors (Seniors: 55 and up),English,Event Page: Adult Book Discussion: Yellowface (https://chipublib.bibliocommons.com/events/6994de806724c63d00f356cd),Mount Greenwood,,2026-04-30T13:00:00.000,2026-04-30T14:30:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,11010 S. Kedzie Avenue,60655,POINT (-87.701067 41.693103),Thursday,6994de806724c63d00f356cd
Adult Book Discussion: Lady Tan's Circle of Women,"<p>Join us for a friendly conversation of <a id=""ember14445"" data-add-title-link=""2507127126"" href=""/item/show/2507127126"">Lady Tan's Circle of Women</a> by Lisa See&nbsp;at our latest monthly book discussion. Copies of the book are available for checkout at the Circulation Desk.<br><br>According to Confucius, ""an educated woman is a worthless woman,"" but Tan Yunxian-born into an elite family, yet haunted by death, separations, and loneliness-is being raised by her grandparents to be of use. Her grandmother is one of only a handful of female doctors in China, and she teaches Yunxian the pillars of Chinese medicine, the Four Examinations-looking, listening, touching, and asking-something a man can never do with a female patient. From a young age, Yunxian learns about women's illnesses, many of which relate to childbearing, alongside a young midwife-in-training, Meiling. The two girls find fast friendship and a mutual purpose-despite the prohibition that a doctor should never touch blood while a midwife comes in frequent contact with it-and they vow to be forever friends, sharing in each other's joys and struggles. No mud, no lotus, they tell themselves: from adversity beauty can bloom. But when Yunxian is sent into an arranged marriage, her mother-in-law forbids her from seeing Meiling and from helping the women and girls in the household. Yunxian is to act like a proper wife-embroider bound-foot slippers, pluck instruments, recite poetry, give birth to sons, and stay forever within the walls of the family compound, the Garden of Fragrant Delights. How might a woman like Yunxian break free of these traditions, go on to treat women and girls from every level of society, and lead a life of such importance that many of her remedies are still used five centuries later? How might the power of friendship support or complicate these efforts?<br></p>
<p><strong><strong>Accessibility</strong></strong><br>Need sign language interpretation or other accessibility assistance for this event? Please call (312) 747-8184 or email <a href=""mailto:access@chipublib.org"">access@chipublib.org</a> to request accommodations. Requests must be made at least 14 business days before the event.<br></p>",Book Clubs,Adults (Adults: 18 and up) | Seniors (Seniors: 55 and up),English,Event Page: Adult Book Discussion: Lady Tan's Circle of Women (https://chipublib.bibliocommons.com/events/699758afb48451fc3c03c37a),Archer Heights,,2026-04-22T13:00:00.000,2026-04-22T14:00:00.000,FALSE,FALSE,FALSE,,,FALSE,NOT REQUIRED,5055 S. Archer Avenue,60632,POINT (-87.726459 41.80105),Wednesday,699758afb48451fc3c03c37a
